rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.05000939965248108,63444,85,742,50.0,-21.66139973,1270,53440,0.004847590927965939,0.0015226718242047355,0.0001,-22.655025482177734,3.0046721696853638,,,
0.0,0.05000745505094528,63944,85,749,50.0,-21.60694205999999,1280,53940,0.00462042517028749,0.0031615279731340706,0.0001,-21.475231647491455,3.000182271003723,,,
0.0,0.04999883100390434,64444,85,755,50.0,-21.122631389999995,1290,54440,0.004405104322358966,0.0013285695167724043,0.0001,-19.990668773651123,3.0636757016181946,,,
0.0,0.04999559372663498,64944,85,761,50.0,-21.27427921,1300,54940,0.0042004905408248305,0.0023618547711521387,0.0001,-19.739800453186035,3.1107848286628723,,,
0.0,0.04999067634344101,65444,85,767,50.0,-21.024530949999995,1310,55440,0.004008478135801852,0.0009500693849986419,0.0001,-19.024097442626953,3.0867810249328613,,,
0.0,0.04998801276087761,65944,85,773,50.0,-21.052323399999995,1320,55940,0.003825852822046727,0.002900315710576251,0.0001,-16.13285255432129,3.147505760192871,,,
0.0,0.04999581724405289,66444,85,780,50.0,-21.168858339999996,1330,56440,0.0036533420789055526,0.0031590772850904614,0.0001,-21.445921421051025,3.108079671859741,,,
0.0,0.04999380558729172,66944,85,786,50.0,-20.798962979999995,1340,56940,0.00348690920509398,0.0021005957387387753,0.0001,-19.71921467781067,3.1336897015571594,,,
0.0,0.04999023675918579,67444,85,792,50.0,-20.582262319999998,1350,57440,0.0033266961108893156,0.0016662741400068626,0.0001,-22.775510549545288,3.175151526927948,,,
0.0,0.04996675252914429,67944,85,798,50.0,-20.086126599999997,1360,57940,0.0031742810970172286,0.005346659949282184,0.0001,-20.760676860809326,3.1891589164733887,,,
0.0,0.049955420196056366,68444,84,805,50.0,-20.04909024,1370,58440,0.003033264132682234,0.002086370252072811,0.0001,-17.217970609664917,3.146919369697571,,,
0.0,0.04993968829512596,68944,84,812,50.0,-20.708850560000002,1380,58940,0.0028987516998313367,0.002531296035158448,0.0001,-18.896316528320312,3.1733449697494507,,,
0.0,0.04993634670972824,69444,84,818,50.0,-21.05624708,1390,59440,0.0027706155087798834,0.006753138994099572,0.0001,-19.780802249908447,3.1679400205612183,,,
0.0,0.04992585629224777,69944,84,824,50.0,-21.01169046,1400,59940,0.0026448227581568062,0.0011864414409501478,0.0001,-18.88003444671631,3.2259631752967834,,,
0.0,0.04990562051534653,70444,84,831,50.0,-21.02866148,1410,60440,0.0025240217219106853,0.0028690325998468325,0.0001,-18.58894371986389,3.2012394070625305,,,
0.0,0.04988400638103485,70944,84,837,50.0,-20.73355937,1420,60940,0.0024069244391284883,0.0015393759385915473,0.0001,-18.516339540481567,3.2300716042518616,,,
0.0,0.04986787959933281,71444,84,843,50.0,-20.32062452,1430,61440,0.0022959706257097423,0.0018063384195556864,0.0001,-21.249648571014404,3.2514541149139404,,,
0.0,0.04984555393457413,71944,84,849,50.0,-20.86864799,1440,61940,0.0021910601062700152,0.0018363615672569722,0.0001,-15.109908819198608,3.23018616437912,,,
0.0,0.04981691762804985,72444,84,855,50.0,-20.800628220000004,1450,62440,0.0020935909706167877,0.0017419601063011214,0.0001,-14.116377115249634,3.2556334733963013,,,
0.0,0.04979569464921951,72944,84,861,50.0,-20.930555120000005,1460,62940,0.0020033091423101723,0.002905992034357041,0.0001,-12.421424150466919,3.284908652305603,,,
0.0,0.04978339001536369,73444,84,868,50.0,-20.941102800000003,1470,63440,0.0019137865456286818,0.0014154381933622062,0.0001,-14.258383512496948,3.2650227546691895,,,
